"","primary","colname"
"1","BBN_10099-MTG","BBN_10099_MTG_P3WH10_001"
"2","BBN_10109-MTG","BBN_10109_MTG_P4WA3_001"
"3","BBN_10611-MTG","BBN_10611_MTG_P2WD10_001"
"4","BBN_14801-MTG","BBN_14801_MTG_P1WH9_001"
"5","BBN_16213-MTG","BBN_16213_MTG_P2WH3_001"
"6","BBN_18399-MTG","BBN_18399_MTG_P2WF5_001"
"7","BBN_19214-MTG","BBN_19214_MTG_P2WA3_001"
"8","BBN_21792-MTG","BBN_21792_MTG_P2WG7_001"
"9","BBN_24279-MTG","BBN_24279_MTG_P2WA6_001"
"10","BBN_24370-MTG","BBN_24370_MTG_P3WD4_001"
"11","BBN_24578-MTG","BBN_24578_MTG_P3WF1_001"
"12","BBN_7115-MTG","BBN_7115_MTG_P1WF4_001"
"13","BBN_7403-MTG","BBN_7403_MTG_P1WF7_001"
"14","BBN_7404-MTG","BBN_7404_MTG_P1WF10_001"
"15","BBN_7540-MTG","BBN_7540_MTG_P1WG4_001"
"16","BBN_7545-MTG","BBN_7545_MTG_P1WG7_001"
"17","BBN_7617-MTG","BBN_7617_MTG_P1WH4_001"
"18","BBN_9984-MTG","BBN_9984_MTG_P3WD1_001"
"19","BBN002.26094-MTG","BBN002.26094_MTG_P3WC8_001"
"20","BBN002.29089-MTG","BBN002.29089_MTG_P3WD7_001"
"21","BBN002.29170-MTG","BBN002.29170_MTG_P3WE8_001"
"22","BBN002.30035-MTG","BBN002.30035_MTG_P2WG10_001"
"23","BBN002.30127-MTG","BBN002.30127_MTG_P3WA4_001"
"24","BBN003.26332-MTG","BBN003.26332_MTG_P1WD4_001"
"25","BBN003.26333-MTG","BBN003.26333_MTG_P1WD7_001"
"26","BBN003.26941-MTG","BBN003.26941_MTG_P2WA9_001"
"27","BBN003.26951-MTG","BBN003.26951_MTG_P2WB2_001"
"28","BBN003.28342-MTG","BBN003.28342_MTG_P2WB5_001"
"29","BBN003.32185-MTG","BBN003.32185_MTG_P1WA5_001"
"30","BBN003.32196-MTG","BBN003.32196_MTG_P1WA8_001"
"31","BBN003.32205-MTG","BBN003.32205_MTG_P1WB5_001"
"32","BBN003.32212-MTG","BBN003.32212_MTG_P1WC1_001"
"33","BBN003.32228-MTG","BBN003.32228_MTG_P1WC5_001"
"34","BBN003.32235-MTG","BBN003.32235_MTG_P1WC8_001"
"35","BBN003.32295-MTG","BBN003.32295_MTG_P1WE3_001"
"36","BBN003.33729-MTG","BBN003.33729_MTG_P2WC3_001"
"37","BBN003.34161-MTG","BBN003.34161_MTG_P2WC6_001"
"38","BBN003.35446-MTG","BBN003.35446_MTG_P2WD1_001"
"39","BBN003.35520-MTG","BBN003.35520_MTG_P2WD4_001"
