"","BBN_10099_MTG_P3WH10_001","BBN_10109_MTG_P4WA3_001","BBN_10611_MTG_P2WD10_001","BBN_14801_MTG_P1WH9_001","BBN_16213_MTG_P2WH3_001","BBN_18399_MTG_P2WF5_001","BBN_19214_MTG_P2WA3_001","BBN_21792_MTG_P2WG7_001","BBN_24279_MTG_P2WA6_001","BBN_24370_MTG_P3WD4_001","BBN_24578_MTG_P3WF1_001","BBN_7115_MTG_P1WF4_001","BBN_7403_MTG_P1WF7_001","BBN_7404_MTG_P1WF10_001","BBN_7540_MTG_P1WG4_001","BBN_7545_MTG_P1WG7_001","BBN_7617_MTG_P1WH4_001","BBN_9984_MTG_P3WD1_001","BBN002.26094_MTG_P3WC8_001","BBN002.29089_MTG_P3WD7_001","BBN002.29170_MTG_P3WE8_001","BBN002.30035_MTG_P2WG10_001","BBN002.30127_MTG_P3WA4_001","BBN003.26332_MTG_P1WD4_001","BBN003.26333_MTG_P1WD7_001","BBN003.26941_MTG_P2WA9_001","BBN003.26951_MTG_P2WB2_001","BBN003.28342_MTG_P2WB5_001","BBN003.32185_MTG_P1WA5_001","BBN003.32196_MTG_P1WA8_001","BBN003.32205_MTG_P1WB5_001","BBN003.32212_MTG_P1WC1_001","BBN003.32228_MTG_P1WC5_001","BBN003.32235_MTG_P1WC8_001","BBN003.32295_MTG_P1WE3_001","BBN003.33729_MTG_P2WC3_001","BBN003.34161_MTG_P2WC6_001","BBN003.35446_MTG_P2WD1_001","BBN003.35520_MTG_P2WD4_001"
"IGKV2-28;IGKV2-29;IGKV2-30;IGKV2-40;IGKV2D-26;IGKV2D-28;IGKV2D-29;IGKV2D-30;IGKV2D-40",NA,NA,NA,NA,NA,3.88785,11.0547,NA,NA,NA,5.10218,NA,18.4459,NA,NA,3.68882,14.9178,NA,NA,NA,NA,15.9777,NA,NA,NA,16.0346,19.767,11.0573,NA,NA,52.0383,NA,17.6148,15.891,NA,NA,NA,10.4282,NA
"IGKV3-11;IGKV3D-11",NA,25.5362,8.9192,15.8909,NA,6.91619,16.2011,22.2013,29.0004,NA,16.0128,NA,12.1294,14.8771,20.4404,21.6893,27.3404,26.0118,12.3101,5.58179,19.7155,47.4351,NA,14.8351,33.9257,44.0701,31.5262,23.9609,44.0226,35.7476,75.8005,19.5038,37.0042,26.7234,NA,18.3257,20.2569,32.8512,NA
"IGHV3-15;IGHV3-72;IGHV3-73",13.6608,NA,22.4245,23.9753,NA,NA,19.8104,33.6381,30.0959,NA,NA,NA,NA,NA,28.999,26.6341,31.3155,NA,NA,NA,43.953,51.1442,NA,24.4173,50.3144,46.9127,38.5804,NA,31.5077,NA,76.3478,21.1846,64.5516,53.774,NA,26.9152,16.4883,NA,24.1422
"UBA6",53.9342,44.0024,60.5918,33.8567,53.3212,53.6194,62.899,61.4863,57.248,48.5423,48.4013,52.0233,63.2917,52.4605,57.1044,44.9386,80.3322,48.3928,66.6336,37.1466,54.916,73.8834,70.6008,47.316,72.4771,61.0683,56.9053,66.8881,59.4748,65.1118,68.7902,60.0575,63.0928,67.0095,47.7676,71.8082,66.9639,95.7079,52.8794
"ESYT2",15.9353,8.79475,28.6187,NA,32.0624,23.9976,35.5413,39.1953,45.3486,44.7597,20.0187,18.2872,27.1424,40.2676,21.0178,25.7037,23.9706,19.4507,24.8203,11.6044,20.4427,27.1404,25.5888,14.8837,35.708,28.684,39.2786,37.2832,18.0295,33.3741,26.6348,25.7827,25.7782,38.1323,38.3267,10.2593,29.561,59.2419,26.5308
"SHTN1",42.0856,64.7074,53.4585,37.6983,56.2661,49.7729,51.0844,56.6578,35.5758,57.6381,41.2494,59.9607,46.2196,47.7613,48.7568,47.4309,57.6811,53.4976,32.4535,52.5342,55.6187,62.4205,62.2412,58.2617,55.2566,36.9191,48.5513,34.2026,59.9607,70.2603,44.5446,64.0254,46.0447,54.3302,48.522,71.2658,62.6588,36.5114,55.0145
"TARS3",NA,15.1655,25.1836,20.1142,22.6672,23.1004,29.9857,25.0564,18.5626,25.2229,22.439,23.2216,28.7483,19.3738,37.0275,21.2916,34.3904,NA,NA,26.2513,29.6154,25.6139,26.9477,35.4833,26.3799,25.7832,14.8838,29.5481,NA,19.2511,26.9178,19.7196,36.2436,26.164,23.1628,NA,28.0471,30.629,19.3973
"PSD",23.8533,15.4614,22.3523,NA,16.5911,19.5333,16.8772,17.5828,12.3173,NA,16.6954,11.0232,18.4653,16.6011,18.4479,16.7526,NA,16.0289,21.0966,NA,18.7286,NA,NA,12.9571,10.9117,20.6327,15.2961,20.3706,NA,15.8148,25.1509,NA,NA,10.6902,14.736,19.484,12.8186,14.3078,20.8181
"CARNS1",NA,55.1083,63.0677,25.2612,37.9277,46.2478,43.2228,62.6026,28.9225,62.9809,31.782,72.1882,42.4943,32.8428,NA,40.3831,39.3965,18.6237,24.8941,47.1768,60.4673,60.9321,64.4122,32.9963,56.9771,42.6049,38.0391,47.9855,18.6069,17.2449,NA,65.1982,47.4864,48.8736,43.1101,67.271,50.4552,NA,21.2316
"MAP1LC3B;MAP1LC3B2",83.1229,89.337,93.0488,56.6484,120.442,118.109,121.126,92.1855,97.8184,127.075,147.506,74.1166,86.3447,108.358,98.536,106.862,92.4835,100.138,66.9748,179.873,110.985,88.1268,103.028,84.2697,104.19,84.3908,83.4126,87.7558,54.6118,120.344,40.068,87.7686,103.358,119.242,92.7046,101.283,99.2801,66.769,99.5654
